House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Unity Plaza,Kirsty,Watson,30,Head,Single,Female,"Surveyor, land/geomatics",None,None
1,Unity Plaza,Jane,Bell,51,None,Single,Female,"Surveyor, insurance",None,Christian
2,Unity Plaza,Elliot,Hall,53,Head,Married,Male,Petroleum engineer,None,None
2,Unity Plaza,Gemma,Hall,52,Wife,Married,Female,"Radiographer, therapeutic",None,None
2,Unity Plaza,Owen,Hall,16,Son,NA,Male,Student,None,NA
3,Unity Plaza,Shaun,Young,89,Head,Married,Male,Retired Medical physicist,None,Christian
3,Unity Plaza,Maureen,Young,88,Wife,Married,Female,Retired Patent attorney,None,Christian
4,Unity Plaza,Susan,Elliott,26,Head,Single,Female,"Editor, commissioning",None,Catholic
5,Unity Plaza,Martyn,Morton,21,Head,Single,Male,University Student,None,None
5,Unity Plaza,Dylan,Phillips,42,None,Single,Male,Energy manager,None,None
5,Unity Plaza,Teresa,Richards,40,None,Single,Female,Cartographer,None,Christian
6,Unity Plaza,Emma,Richards,47,Head,Single,Female,Museum/gallery curator,Deaf,None
6,Unity Plaza,Joe,Cross,53,Partner,Single,Male,"Surveyor, building control",None,None
7,Unity Plaza,Marilyn,Johnson,58,Head,Married,Female,Musician,None,None
7,Unity Plaza,Gavin,Webb,63,Husband,Married,Male,"Engineer, electrical",None,None
7,Unity Plaza,Alice,Johnson,26,Daughter,Single,Female,Unemployed,None,None
7,Unity Plaza,Glenn,Johnson,0,Son,NA,Male,Child,None,NA
8,Unity Plaza,Dawn,Edwards-Young,54,Head,Married,Female,Telecommunications researcher,None,Christian
8,Unity Plaza,Christopher,Edwards-Young,55,Husband,Married,Male,"Engineer, energy",None,None
9,Unity Plaza,Rebecca,Holmes,36,Head,Single,Female,Pathologist,None,None
10,Unity Plaza,Dawn,Roberts,43,Head,Married,Female,Scientific laboratory technician,None,None
10,Unity Plaza,Conor,Roberts,44,Husband,Married,Male,"Engineer, agricultural",None,None
10,Unity Plaza,Christine,Roberts,17,Daughter,NA,Female,Student,None,NA
10,Unity Plaza,Jodie,Baker,14,Daughter,NA,Female,Student,Physical Disability,NA
11,Unity Plaza,Natalie,Hutchinson,47,Head,Married,Female,Secondary school teacher,None,Catholic
11,Unity Plaza,David,Hutchinson,49,Husband,Married,Male,Advice worker,None,Catholic
11,Unity Plaza,Margaret,Hutchinson,18,Daughter,NA,Female,Student,None,NA
12,Unity Plaza,Alexandra,Knight,48,Head,Married,Female,Cytogeneticist,None,Christian
12,Unity Plaza,Brian,Knight,50,Husband,Married,Male,Psychiatric nurse,None,Christian
13,Unity Plaza,Craig,Walsh,25,Head,Married,Male,Stage manager,None,None
13,Unity Plaza,Maureen,Walsh,23,Wife,Married,Female,"Loss adjuster, chartered",None,None
14,Unity Plaza,Leanne,Kennedy,43,Head,Single,Female,Unemployed,None,None
14,Unity Plaza,Malcolm,Kennedy,16,Son,NA,Male,Student,None,NA
